index,direction,length,x,y,starting_x,starting_y,ending_x,ending_y,tangent1_x,tangent1_y,tangent2_x,tangent2_y
S76,+Y,0.466,-2.137,-0.998,-2.137,-0.998,-2.137,-1.464,0.0,1.0,0.0,-1.0
S77,-Y,0.466,-1.975,-1.463,-1.975,-1.463,-1.975,-0.997,0.0,-1.0,0.0,1.0
S78,-Y,0.304,-1.975,-0.998,-1.975,-0.998,-1.975,-0.694,0.0,-1.0,0.0,1.0
S79,+Y,0.304,-2.137,-0.694,-2.137,-0.694,-2.137,-0.998,0.0,1.0,0.0,-1.0
S80,-Y,1.154,0.231,-0.846,0.231,-0.846,0.231,0.308,0.0,-1.0,0.0,1.0
S81,-Y,1.154,0.079,-0.846,0.079,-0.846,0.079,0.308,0.0,-1.0,0.0,1.0
S82,+Y,1.154,-0.073,0.308,-0.073,0.308,-0.073,-0.846,0.0,1.0,0.0,-1.0
S83,+Y,1.154,-0.235,0.308,-0.235,0.308,-0.235,-0.846,0.0,1.0,0.0,-1.0
S84,-Y,0.85,0.716,-0.542,0.716,-0.542,0.716,0.308,0.0,-1.0,0.0,1.0
S85,-Y,0.638,2.649,-0.846,2.649,-0.846,2.649,-0.208,0.0,-1.0,0.0,1.0
S86,-Y,0.648,2.498,-0.846,2.498,-0.846,2.498,-0.198,0.0,-1.0,0.0,1.0
S87,+Y,0.648,2.336,-0.208,2.336,-0.208,2.336,-0.856,0.0,1.0,0.0,-1.0
S88,+Y,0.648,2.184,-0.208,2.184,-0.208,2.184,-0.856,0.0,1.0,0.0,-1.0
S89,-X,0.486,0.645,0.768,0.645,0.768,1.131,0.768,-1.0,0.0,1.0,0.0
S90,-X,0.506,0.733,0.924,0.733,0.924,1.239,0.924,-1.0,0.0,1.0,0.0
S91,-X,1.366,-0.645,0.768,-0.645,0.768,0.721,0.768,-1.0,0.0,1.0,0.0
S911,-X,0.899,-0.645,0.768,-0.645,0.768,0.254,0.768,-1.0,0.0,1.0,0.0
S912,-X,0.899,0.254,0.768,0.254,0.768,1.153,0.768,-1.0,0.0,1.0,0.0
S92,-X,1.467,-0.731,0.925,-0.731,0.925,0.736,0.925,-1.0,0.0,1.0,0.0
S93,+X,3.147,2.265,1.077,2.265,1.077,-0.882,1.077,1.0,0.0,-1.0,0.0
S941,+X,2.046,2.265,1.239,2.265,1.239,0.219,1.239,1.0,0.0,-1.0,0.0
S942,+X,1.101,0.219,1.239,0.219,1.239,-0.882,1.239,1.0,0.0,-1.0,0.0
S95,-X,0.213,-0.884,0.771,-0.884,0.771,-0.671,0.771,-1.0,0.0,1.0,0.0
S96,-X,0.233,-0.884,0.924,-0.884,0.924,-0.651,0.924,-1.0,0.0,1.0,0.0
S999,+X,0.708,-0.235,-3.346,-0.235,-3.346,-0.943,-3.346,1.0,0.0,-1.0,0.0
S999A,+X,0.88,-0.943,-3.346,-0.943,-3.346,-1.823,-3.346,1.0,0.0,-1.0,0.0
