index,x,y,radius,angleStart,angleEnd,Rotation,starting_x,starting_y,ending_x,ending_y,tangent1_x,tangent1_y,tangent2_x,tangent2_y
A67,-0.387,-0.846,0.304,-1.571,0.0,CW,-0.387,-1.15,-0.083,-0.846,-1.0,0.0,-0.0,1.0
A68,-0.387,-0.846,0.466,-1.571,0.0,CCW ,-0.387,-1.312,0.079,-0.846,-1.0,0.0,-0.0,1.0
A69,-0.387,-0.846,0.617,-1.571,0.0,CCW ,-0.387,-1.463,0.23,-0.846,-1.0,0.0,-0.0,1.0
A70,-1.024,-1.16,0.304,-2.2,-1.571,CCW ,-1.203,-1.406,-1.024,-1.464,-0.809,0.588,1.0,-0.0
A71,-1.641,-2.313,1.002,1.123,1.483,CW,-1.207,-1.41,-1.553,-1.315,0.902,-0.433,-0.996,0.088
A72,-1.824,-1.463,0.152,1.571,3.142,CW,-1.824,-1.311,-1.976,-1.463,1.0,0.0,0.0,-1.0
A73,-1.824,-1.463,0.304,1.571,3.142,CCW ,-1.824,-1.159,-2.128,-1.463,1.0,0.0,0.0,-1.0
A74,-1.824,-0.998,0.304,-3.142,-1.571,CCW ,-2.128,-0.998,-1.824,-1.302,0.0,1.0,1.0,-0.0
A75,-1.824,-0.998,0.152,-3.142,-1.571,CW,-1.976,-0.998,-1.824,-1.15,0.0,1.0,1.0,-0.0
A76,-1.641,-0.158,1.002,-1.483,-1.123,CW,-1.553,-1.156,-1.207,-1.061,-0.996,-0.088,0.902,0.433
A77,-1.024,-1.312,0.304,1.571,2.2,CCW ,-1.024,-1.008,-1.203,-1.066,1.0,0.0,-0.809,-0.588
A78,1.182,-0.542,0.466,-3.142,-1.571,CW,0.716,-0.542,1.182,-1.008,0.0,1.0,1.0,-0.0
A79,3.611,-0.208,0.961,2.593,3.142,CW,2.791,0.293,2.65,-0.208,0.521,0.853,0.0,-1.0
A80,3.611,-0.208,1.113,2.593,3.142,CW,2.661,0.372,2.498,-0.208,0.521,0.853,0.0,-1.0
